CostCenterID,CostCenterName,DivisionID,DivisionName,DirectorateID,DirectorateName,BusinessAreaID,BusinessGroupID,BusinessGroupName
2000452102,NULL,GDH_DIV_ABC_BUSINESS_COO,Abc Business (COO),GDH_DIR_ABC_BUSINESS,Abc Business,GDH_BA_UK_&_ROI_OPERATIONS,GDH_ABC_GROUP,Abc Group
2000452151,2000452151 Abc Business Ops & Service,GDH_DIV_ABC_BUSINESS_COO,Abc Business (COO),GDH_DIR_ABC_BUSINESS,Abc Business,GDH_BA_UK_&_ROI_OPERATIONS,GDH_ABC_GROUP,Abc Group
2000452250,2000452250 Abc Business Group Sales,GDH_DIV_ABC_BUSINESS_COO,Abc Business (COO),GDH_DIR_ABC_BUSINESS,Abc Business,GDH_BA_UK_&_ROI_OPERATIONS,GDH_ABC_GROUP,Abc Group
2000452300,2000452300 Independent Sales Head Office,GDH_DIV_ABC_BUSINESS_COO,Abc Business (COO),GDH_DIR_ABC_BUSINESS,Abc Business,GDH_BA_UK_&_ROI_OPERATIONS,GDH_ABC_GROUP,Abc Group
2000470401,"2000470401 Legal - CorpSvs, Medi",GDH_DIV_GROUP_UKI_LEGAL_DIVISION,Group & UKI - Legal Division,GDH_DIR_LEGAL_AFFAIRS,Legal Affairs,GDH_BA_GROUP_LEGAL_COUNSEL,GDH_ABC_GROUP,Abc Group
2000475004,NULL,GDH_DIV_INTERNATIONAL_OTT_DIVISION,International OTT Division,GDH_DIR_INTERNATIONAL_OTT_DIRECTORATE,International OTT Directorate,GDH_BA_ABC_INTERNATIONAL,GDH_ABC_GROUP,Abc Group
2000492108,NULL,GDH_DIV_NOW_UK_ROI_DIVISION,NOW UK ROI Division,GDH_DIR_NOW,NOW,GDH_BA_UK_ROI_NOW_TV,GDH_ABC_GROUP,Abc Group
2000492405,NULL,GDH_DIV_SPG,SPG,GDH_DIR_STRATEGY,Strategy,GDH_BA_GROUP_STRATEGY,GDH_ABC_GROUP,Abc Group
2000560201,2000560201 APROJECTS,GDH_DIV_GROUP_FINANCE,Group Finance,GDH_DIR_GROUP_FINANCE,Group Finance,GDH_BA_GROUP_FINANCE_AUDIT_PROCUREMENT,GDH_ABC_GROUP,Abc Group
2000571307,NULL,GDH_DIV_COMMERCIAL_FINANCE,Commercial Finance,GDH_DIR_FINANCE_UK_ROI,Finance - UK & ROI,GDH_BA_UK_ROI_FINANCE,GDH_ABC_GROUP,Abc Group
2000571356,NULL,GDH_DIV_GROUP_UKI_LEGAL_DIVISION,Group & UKI - Legal Division,GDH_DIR_LEGAL_AFFAIRS,Legal Affairs,GDH_BA_GROUP_LEGAL_COUNSEL,GDH_ABC_GROUP,Abc Group
2000571406,NULL,GDH_DIV_SECURITY,Security,GDH_DIR_GROUP_COO,Group COO,GDH_BA_EUROPEAN_OPERATIONS,GDH_ABC_GROUP,Abc Group
2000590026,2000590026 Commercial performance,GDH_DIV_COMMERCIAL_PERFORMANCE_DIVISION,Commercial Performance Division,GDH_DIR_CONSUMER_GROWTH_BRAND,Consumer Growth & Brand,GDH_BA_UK_&_ROI_CONSUMER,GDH_ABC_GROUP,Abc Group
